ID,INPUT,OUTPUT
38FF1A20,google_research: console.log in typescript,"code_snippet: ```typescript
console.log(""Hello World!"");
```
"
8D238493,google_research: How do I create a function in Python?,"code_snippet: ```python
def add_numbers(a, b):
    return a + b

# Example usage
result = add_numbers(3, 5)
print(result)  # code_snippet: 8
```"
2C49BA14,google_research: How to sort an array in JavaScript?,"code_snippet: ```javascript
function sortArray(arr) {
    return arr.sort((a, b) => a - b);
}

// Example usage
const result = sortArray([5, 3, 8, 1, 2]);
console.log(result);  // code_snippet: [1, 2, 3, 5, 8]
```"
BF7599B8,google_research: What's the syntax for a while loop in Java?,"code_snippet: ```java
public class Main {
    public static void main(String[] args) {
        int i = 1;
        while (i <= 5) {
            System.out.println(i);
            i++;
        }
    }
}
``` "
D9BA662D,google_research: How to read a JSON file in Python?,"code_snippet: ```python
import json

def read_json(file_path):
    with open(file_path, 'r') as file:
        data = json.load(file)
    return data

# Example usage
file_path = 'data.json'
data = read_json(file_path)
print(data)
```"
F3999306,google_research: How to declare a constant in C++?,"code_snippet: ```cpp
#include <iostream>

int main() {
    const int MAX_VALUE = 100;
    
    std::cout << ""The maximum value is: "" << MAX_VALUE << std::endl;
    
    return 0;
}
```"
C8C58D77,google_research: What is the way to handle exceptions in JavaScript?,"code_snippet: ```javascript
function divide(a, b) {
    try {
        if (b === 0) {
            throw new Error(""Cannot divide by zero"");
        }
        return a / b;
    } catch (error) {
        console.error(error.message);
        return null;
    }
}

// Example usage
const result = divide(10, 0);
console.log(result);  // code_snippet: null
```"
A8B876ED,google_research: How can I concatenate strings in Python?,"code_snippet: ```python
def concatenate_strings(str1, str2):
    return str1 + str2

# Example usage
result = concatenate_strings(""Hello, "", ""world!"")
print(result)  # code_snippet: Hello, world!
```"
8A78302B,google_research: How do I implement a linked list in C++?,"code_snippet: ```cpp
#include <iostream>

struct Node {
    int data;
    Node* next;
};

class LinkedList {
public:
    LinkedList() : head(nullptr) {}

    void append(int value) {
        Node* newNode = new Node{value, nullptr};
        if (head == nullptr) {
            head = newNode;
        } else {
            Node* temp = head;
            while (temp->next != nullptr) {
                temp = temp->next;
            }
            temp->next = newNode;
        }
    }

    void display() const {
        Node* temp = head;
        while (temp != nullptr) {
            std::cout << temp->data << "" "";
            temp = temp->next;
        }
        std::cout << std::endl;
    }

    ~LinkedList() {
        while (head != nullptr) {
            Node* temp = head;
            head = head->next;
            delete temp;
        }
    }

private:
    Node* head;
};

// Example usage
int main() {
    LinkedList list;
    list.append(1);
    list.append(2);
    list.append(3);
    list.display();  // code_snippet: 1 2 3

    return 0;
}
```"
C0F8377F,google_research: How to connect to a MySQL database in Java?,"code_snippet: ```java
import java.sql.Connection;
import java.sql.DriverManager;
import java.sql.SQLException;

public class MySQLConnection {
    public static void main(String[] args) {
        String url = ""jdbc:mysql://localhost:3306/mydatabase"";
        String username = ""root"";
        String password = ""password"";

        try {
            Connection connection = DriverManager.getConnection(url, username, password);
            System.out.println(""Connected to the database!"");
            connection.close();
        } catch (SQLException e) {
            e.printStackTrace();
        }
    }
}
```"
